brandId,brandName,aliases,categoryId,logo,luxuryLevel,rankingWeight,brandStatus,originCountryId
alina-cosmetics,Alina Cosmetics,"[""Alina"",""AlinaCosmetics""]",beauty,,lifestyle,70,active,austria
all-good-things,All Good Things,"[""AllGoodThings""]",fashion,,lifestyle,50,active,united-kingdom
allegri,Allegri,[],fashion,,premium,72,active,italy
allsaints,AllSaints,"[""All Saints""]",fashion,,premium,82,active,united-kingdom
allsport-fashion,Allsport & Fashion,"[""Allsport&Fashion"",""Allsport and Fashion""]",fashion,,fashion,60,active,norway
allude,Allude,[],fashion,,premium,69,active,germany
alpha-industries,Alpha Industries,"[""AlphaIndustries""]",fashion,,lifestyle,75,active,united-states
alpha-tauri,Alpha Tauri,"[""AlphaTauri""]",fashion,,premium,76,active,austria
alpine-pro,Alpine Pro,"[""Alpine Pro"",""AlpinePro"",""Alpine Pro Outlet""]",sportswear,,fashion,60,active,poland
altea,Altea,[],fashion,,premium,68,active,italy
altershops,Altershops,"[""Altershops""]",fashion,,fashion,60,active,greece
alvaro-moreno,Alvaro Moreno,"[""Álvaro Moreno"",""AlvaroMoreno""]",fashion,,fashion,70,active,spain
alvi,Alvi,[],home,,lifestyle,70,active,
alviero-martini-1a-classe,Alviero Martini 1A Classe,"[""Alviero Martini"",""1A Classe"",""AlvieroMartini"",""1AClasse""]",fashion,,premium,78,active,italy
ambitious,Ambitious,[],shoes-bags,,fashion,70,active,portugal
amelie,Amelie,[],fashion,,fashion,50,active,
america-today,America Today,[],fashion,,fashion,68,active,netherlands
american-eagle,American Eagle,"[""American Eagle Outfitters"",""AE"",""AmericanEagle""]",fashion,,lifestyle,80,active,united-states
american-stars,American Stars,"[""AmericanStars""]",fashion,,fashion,60,active,greece
american-tourister,American Tourister,"[""AmericanTourister"",""American Tourister Luggage""]",fashion,,fashion,70,active,
american-vintage,American Vintage,"[""AmericanVintage""]",fashion,,premium,78,active,france
ami-paris,AMI Paris,"[""AMI Alexandre Mattiussi"",""AMI"",""AMIParis""]",fashion,,premium,84,active,france
amina-rubinacci,Amina Rubinacci,"[""AminaRubinacci""]",fashion,,premium,74,active,italy
amnesia,Amnesia,"[""Amnesia Fashion""]",fashion,,fashion,70,active,hungary
amora,Amora,[],fashion,,fashion,50,active,
anayi,ANAYI,"[""Anayi""]",fashion,,premium,72,active,japan
and-wander,and wander,"[""And Wander"",""andwander"",""AndWander""]",sportswear,,premium,74,active,japan
andersons,Anderson's,"[""Andersons"",""Anderson’s"",""Anderson s""]",fashion,,premium,66,active,italy
andersson-bell,Andersson Bell,"[""AnderssonBell""]",fashion,,premium,76,active,south-korea
andre-maurice,Andre' Maurice,"[""Andre’ Maurice"",""Andre Maurice"",""AndreMaurice""]",fashion,,fashion,60,active,
andre-maurice-cashmere,ANDRÈ MAURICE CASHMERE,[],fashion,,fashion,50,active,
angel-and-rocket,Angel & Rocket,"[""Angel and Rocket"",""Angel Rocket"",""AngelRocket""]",fashion,,lifestyle,50,active,united-kingdom
angelico,Angelico,[],fashion,,premium,74,active,italy
animal,Animal,[],fashion,,lifestyle,68,active,united-kingdom
anne-de-solene,Anne de Solène,"[""Anne de Solene"",""AnnedeSolene""]",home,,premium,70,active,france
anne-fontaine,Anne Fontaine,"[""AnneFontaine""]",fashion,,premium,70,active,france
anne-klein,Anne Klein,"[""AnneKlein""]",fashion,,fashion,72,active,united-states
